1a,s1,270138,Avirović,Jaglika,Nemanja,M,Ulica dr Milana Mirkovića broj 6,064-8186-999,0512981717776,24/05/1983
1a,s1,270544,Cvetković,Janja,Milna,M,"Dragoljuba Vujića broj 11, Žitkovac, Aleksinac",011-3547-235,0512981717776,27/12/1983
1a,s1,270036,Đorđević,Zvezda,Stefan,M,Ulica Vojvode Stepe - zgrada ATDA,069-822- 5363,0512981717776,27/11/1985
1a,s1,270384,Popović,Antonija,Darko,M,Ulica kneza Miloša Obrenovića broj 1,069-832-4140,0512981717776,09/03/1988
1a,s1,270730,Todorović,Agripina,Nikola,M,Uloca Branislava Nušića broj 2,011-8035-121,0512981717776,16/11/1988
1b,s2,270393,Nikolić,Una,Igor,M,Ulica Veljka Dugoševića 44 (Severni bulevar),016-210-477,0512981717776,15/04/1991
1v,s2,270559,Petković,Aglija,Anderj,M,Ulica Omladinskih brigada broj 104,030-463- 379,0512981717776,11/12/1991
1m,s4,270515,Vasić,Dobrosava,Dejan,M,Ulica Cara Dušana 178,063-1174-221,0512981717776,09/12/1997
2g,s4,270710,Milovanović,Djeva,Damjan,M,Ulica braće Puhalović 12 zgrada B,063-1174-226,0512981717776,12/12/1997
2g,s5,270499,Jevtić,Marija,Milos,M,"Barajevo, Ulica Čedomira Đoinčevića 95, Vranić ",014-239-798,0512981717776,01/10/2001
1b,s1,270138,Avirovic,Jaglika,Nemanja,M,Ulica dr Milana Mirkovica broj 6,0648186999,1051298171777,24/05/1983
